Player ID,Player,Nation,Birth Date,Position,Age,Age Group,Minutes Played,Attacking - Attempts At Goal,Conversion Rate
395050,Aubrey Modiba,RSA,1995-07-22,Defender,30,Older,381.0,5,0
371958,Derek Cornelius,CAN,1997-11-25,Defender,28,Older,351.0,5,0
436612,Denzel Dumfries,NED,1996-04-18,Defender,30,Older,432.0,5,0
448360,Brandon Mechele,BEL,1993-01-28,Defender,33,Older,651.0,5,0
466317,Juninho Bacuna,CUW,1997-08-07,Midfielder,28,Older,280.0,5,0
404353,Leroy Sane,GER,1996-01-11,Midfielder,30,Older,360.0,6,17
430733,Mikel Merino,ESP,1996-06-22,Midfielder,29,Older,262.0,5,40
448343,Hans Vanaken,BEL,1992-08-24,Midfielder,33,Older,362.0,5,20
401444,Youri Tielemans,BEL,1997-05-07,Midfielder,29,Older,538.0,11,18
269058,James Rodriguez,COL,1991-07-12,Midfielder,34,Older,338.0,6,0
405175,Seko Fofana,CIV,1995-05-07,Midfielder,31,Older,103.0,5,0
401894,Jamiro Monteiro,CPV,1993-11-23,Midfielder,32,Older,314.0,5,0
369304,Hakan Calhanoglu,TUR,1994-02-08,Midfielder,32,Older,208.0,11,0
411375,Rodri,ESP,1996-06-22,Midfielder,29,Older,819.0,7,0
332314,Idrissa Gana Gueye,SEN,1989-09-26,Midfielder,36,Older,411.0,5,0
401448,Denis Zakaria,SUI,1996-11-20,Midfielder,29,Older,392.0,5,0
483327,Viktor Gyokeres,SWE,1998-06-04,Forward,28,Older,400.0,12,8
355642,Ryan Mendes,CPV,1990-01-08,Forward,36,Older,366.0,6,0
433426,Soufiane Rahimi,MAR,1996-06-02,Forward,30,Older,215.0,6,33
274078,Chris Wood,NZL,1991-12-07,Forward,34,Older,306.0,5,0
363863,Trezeguet,EGY,1994-10-01,Forward,31,Older,204.0,8,13
201200,Cristiano Ronaldo,POR,1985-02-05,Forward,41,Older,490.0,18,17
398680,Ousmane Dembele,FRA,1997-05-15,Forward,29,Older,648.0,20,30
428905,Luis Suarez,COL,1997-12-02,Forward,28,Older,365.0,9,0
510989,Brian Cipenga,COD,1998-03-11,Forward,28,Older,160.0,6,17
369419,Harry Kane,ENG,1993-07-28,Forward,32,Older,732.0,23,26
477859,Fiston Mayele,COD,1994-06-24,Forward,31,Older,55.0,5,20
393480,Breel Embolo,SUI,1997-02-14,Forward,29,Older,531.0,10,20
379942,Riyad Mahrez,ALG,1991-02-21,Forward,35,Older,288.0,6,33
448355,Leandro Trossard,BEL,1994-12-04,Forward,31,Older,561.0,17,12
