Player ID,Player,Nation,Birth Date,Position,Age,Age Group,Minutes Played,Attacking - Attempts At Goal,Conversion Rate
441170,Ladislav Krejci,CZE,1999-04-20,Defender,27,Younger,301.0,5,20
423522,Jordan Bos,AUS,2002-10-29,Defender,23,Younger,343.0,5,0
400721,Achraf Hakimi,MAR,1998-11-04,Defender,27,Younger,650.0,14,7
430452,Connor Metcalfe,AUS,1999-11-05,Midfielder,26,Younger,354.0,5,20
494989,Livano Comenencia,CUW,2004-02-03,Midfielder,22,Younger,253.0,5,20
430628,Alexis Mac Allister,ARG,1998-12-24,Midfielder,27,Younger,869.0,13,8
447860,Alex Baena,ESP,2001-07-20,Midfielder,24,Younger,522.0,12,8
500037,Gilberto Mora,MEX,2008-10-14,Midfielder,17,Younger,236.0,5,0
405454,Elijah Just,NZL,2000-05-01,Midfielder,26,Younger,291.0,7,43
433097,Declan Rice,ENG,1999-01-14,Midfielder,27,Younger,622.0,6,17
489688,Yasin Ayari,SWE,2003-10-06,Midfielder,22,Younger,371.0,7,29
473113,Eberechi Eze,ENG,1998-06-29,Midfielder,27,Younger,247.0,5,0
431788,Pape Gueye,SEN,1999-01-24,Midfielder,27,Younger,257.0,8,25
492363,Felix Nmecha,GER,2000-10-10,Midfielder,25,Younger,299.0,8,13
485677,Manu Kone,FRA,2001-05-17,Midfielder,25,Younger,426.0,6,0
405879,Wilson Isidor,HAI,2000-08-27,Forward,25,Younger,201.0,5,20
448114,Dan Ndoye,SUI,2000-10-25,Forward,25,Younger,437.0,16,13
411367,Kai Havertz,GER,1999-06-11,Forward,27,Younger,392.0,12,25
484087,Arda Guler,TUR,2005-02-25,Forward,21,Younger,313.0,12,8
389867,Kylian Mbappe,FRA,1998-12-20,Forward,27,Younger,769.0,41,24
418535,Joao Felix,POR,1999-11-10,Forward,26,Younger,218.0,6,0
405755,Jaminton Campaz,COL,2000-05-24,Forward,26,Younger,98.0,6,17
489732,Noni Madueke,ENG,2002-03-10,Forward,24,Younger,315.0,6,0
430609,Matheus Cunha,BRA,1999-05-27,Forward,27,Younger,324.0,10,30
485655,Michael Olise,FRA,2001-12-12,Forward,24,Younger,719.0,20,0
493970,Promise David,CAN,2001-07-03,Forward,24,Younger,105.0,5,20
448362,Charles De Ketelaere,BEL,2001-03-10,Forward,25,Younger,385.0,6,50
405742,Vinicius Junior,BRA,2000-07-12,Forward,25,Younger,505.0,17,24
418795,Nicolas Jackson,SEN,2001-06-20,Forward,24,Younger,271.0,7,0
448152,Cody Gakpo,NED,1999-05-07,Forward,27,Younger,394.0,10,30
