Player ID,Player Name,Short Name,Position,Position Code,Birth Date,Age,Age Group,Jersey Number,Matches Played,Minutes Played,Minutes per Appearance,Goals,Assists,Attempts at Goal,Attempts on Target,Goal Conversion Rate,Passes,Passes Completed,Passing Accuracy,Fouls Against,Fouls Against per 90,Fouls For,Fouls For per 90,xG,xG Efficiency,Made Appearance?,Attempts >= 3?,Passes >= 50?,Minutes >= 90?,Non-GK?,Forward?,Assignment Population Eligible?,Task 2 Eligible?,Task 3 Eligible?,FIFA AttemptAtGoalAgainstOnTarget,FIFA AttemptAtGoalBlocked,FIFA AttemptAtGoalFromBallProgression,FIFA AttemptAtGoalFromCorner,FIFA AttemptAtGoalFromCross,FIFA AttemptAtGoalFromFreeKicks,FIFA AttemptAtGoalFromOther,FIFA AttemptAtGoalFromPass,FIFA AttemptAtGoalFromPenalty,FIFA AttemptAtGoalFromRebound,FIFA AttemptAtGoalInsideThePenaltyArea,FIFA AttemptAtGoalInsideThePenaltyAreaOnTarget,FIFA AttemptAtGoalOffTarget,FIFA AttemptAtGoalOutsideThePenaltyArea,FIFA AttemptAtGoalOutsideThePenaltyAreaOnTarget,FIFA AttemptedBallProgressions,FIFA AttemptedSwitchesOfPlay,FIFA AvgSpeed,FIFA CompletedBallProgressions,FIFA CompletedSwitchesOfPlay,FIFA Corners,FIFA Crosses,FIFA CrossesCompleted,FIFA DefensivePressuresApplied,FIFA DirectDefensivePressuresApplied,FIFA DirectFreeKicks,FIFA DirectRedCards,FIFA DistanceHighSpeedRunning,FIFA DistanceHighSpeedSprinting,FIFA DistanceJogging,FIFA DistanceLowSpeedSprinting,FIFA DistanceWalking,FIFA DistributionsCompletedUnderPressure,FIFA DistributionsUnderPressure,FIFA ForcedTurnovers,FIFA FreeKicks,FIFA GoalkeeperDefensiveActionsInsidePenaltyArea,FIFA GoalkeeperDefensiveActionsOutsidePenaltyArea,FIFA GoalkeeperSavePercentage,FIFA GoalkeeperSaves,FIFA GoalkeeperSavesOnTarget,FIFA GoalKicks,FIFA GoalsFromDirectFreeKicks,FIFA GoalsInsideThePenaltyArea,FIFA GoalsOutsideThePenaltyArea,FIFA HeadedAttemptAtGoal,FIFA IndirectFreeKicks,FIFA IndirectRedCards,FIFA LinebreaksAttempted,FIFA LinebreaksAttemptedAllLines,FIFA LinebreaksAttemptedAttackingAndMidfieldLine,FIFA LinebreaksAttemptedAttackingLine,FIFA LinebreaksAttemptedAttackingLineCompleted,FIFA LinebreaksAttemptedAttackingLineCompletedOnly,FIFA LinebreaksAttemptedAttackingLineOnly,FIFA LinebreaksAttemptedCompleted,FIFA LinebreaksAttemptedDefensiveLine,FIFA LinebreaksAttemptedDefensiveLineCompleted,FIFA LinebreaksAttemptedDefensiveLineCompletedOnly,FIFA LinebreaksAttemptedDefensiveLineOnly,FIFA LinebreaksAttemptedMidfieldAndDefensiveLine,FIFA LinebreaksAttemptedMidfieldLine,FIFA LinebreaksAttemptedMidfieldLineCompleted,FIFA LinebreaksAttemptedMidfieldLineCompletedOnly,FIFA LinebreaksAttemptedMidfieldLineOnly,FIFA LinebreaksAttemptedUnderPressure,FIFA LinebreaksCompletedAllLines,FIFA LinebreaksCompletedAttackingAndMidfieldLine,FIFA LinebreaksCompletedMidfieldAndDefensiveLine,FIFA LinebreaksCompletedUnderPressure,FIFA NumberOfInvolvements,FIFA NumberOfPossessionSequences,FIFA NumberOfShotEndingSequences,FIFA OffersToReceiveInBehind,FIFA OffersToReceiveInBetween,FIFA OffersToReceiveInFront,FIFA OffersToReceiveInside,FIFA OffersToReceiveOutside,FIFA OffersToReceiveTotal,FIFA Offsides,FIFA OwnGoals,FIFA Penalties,FIFA PenaltiesScored,FIFA ReceivedOffersToReceive,FIFA ReceptionsBetweenMidfieldAndDefensiveLine,FIFA ReceptionsInBehind,FIFA ReceptionsUnderDirectPressure,FIFA ReceptionsUnderIndirectPressure,FIFA ReceptionsUnderNoPressure,FIFA ReceptionsUnderPressure,FIFA RedCards,FIFA SpeedRuns,FIFA Sprints,FIFA SubstitutionsIn,FIFA SubstitutionsOut,FIFA TakeOnsCompleted,FIFA Threat,FIFA ThrowIns,FIFA TopSpeed,FIFA TotalDistance,FIFA YellowCards,FIFA Source URL
431223,ABDALLAH ALFAKHORI,ALFAKHORI,Goalkeeper,GK,22/01/2000,26,Younger,22,0,0,,0,0,0,0,,0,0,,0,,0,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics
479110,Abduvohid NEMATOV,NEMATOV,Goalkeeper,GK,20/03/2001,25,Younger,12,2,206.3,103.2,0,0,0,0,,56,28,50.00%,0,0,0,0,0,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.789439519,0,0,0,0,0,0,0,2,0,204.1299896,1.539999962,1682.839966,31.63999987,7311.169678,1,7,0,5,55,44,0.75,5,5,9,0,0,0,0,3,0,54,3,18,25,7,3,4,12,4,0,0,0,1,25,5,1,3,7,0,4,0,0,106,62,0,0,0,18,13,5,18,0,1,0,0,8,0,0,0,3,36,3,0,20,2,0,0,0,0.039683335,0,25.0899601,9231.319336,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics
339746,AHMED ALKASSAR,ALKASSAR,Goalkeeper,GK,8/05/1991,35,Older,22,0,0,,0,0,0,0,,0,0,,0,,0,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics
433571,AHMED BASIL,AHMED B.,Goalkeeper,GK,19/08/1996,29,Older,22,2,149.6,74.8,0,0,0,0,,71,42,59.20%,0,0,1,0.6,0,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.868441264,0,0,0,0,0,0,0,1,0,89.03999519,4.099999428,1106.569946,23.68000031,5824.870361,5,9,0,2,43,36,1.400000006,3,3,22,0,0,0,0,1,0,46,3,11,23,6,3,9,11,3,0,0,0,0,20,5,2,6,5,0,3,0,2,124,69,2,0,0,12,8,4,12,0,0,0,0,9,0,0,0,2,43,2,0,10,2,0,1,0,0.032149373,0,25.49533653,7048.259766,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics
371553,Ahmed Reda TAGNAOUTI,TAGNAOUTI,Goalkeeper,GK,5/04/1996,30,Older,22,0,0,,0,0,0,0,,0,0,,0,,0,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics
403090,Alban Lafont,LAFONT,Goalkeeper,GK,23/01/1999,27,Younger,23,0,0,,0,0,0,0,,0,0,,0,,0,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics
423574,Alex PAULSEN,PAULSEN,Goalkeeper,GK,4/07/2002,23,Younger,12,0,0,,0,0,0,0,,0,0,,0,,0,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics
429639,Alexander NUEBEL,NÜBEL,Goalkeeper,GK,30/09/1996,29,Older,21,0,0,,0,0,0,0,,0,0,,0,,0,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics
371739,Alexander SCHLAGER,SCHLAGER,Goalkeeper,GK,1/02/1996,30,Older,1,4,412.3,103.1,0,0,0,0,,123,106,86.20%,0,0,1,0.22,0,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.401320517,0,0,0,0,0,0,0,3,0,903.2300568,63.49000168,6510.749878,276.6300087,15613.3894,6,10,0,4,85,74,2.233333379,15,12,10,0,0,0,0,1,0,38,0,13,22,9,7,9,12,0,0,0,0,0,16,3,1,3,9,0,2,0,4,247,105,7,0,0,64,48,16,64,0,0,0,0,30,0,0,0,2,93,2,0,81,20,0,0,0,0.125503607,0,30.08853149,23367.49023,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics
466835,Alexandre PIERRE,A. PIERRE,Goalkeeper,GK,25/02/2001,25,Younger,12,0,0,,0,0,0,0,,0,0,,0,,0,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics
